Pions,,Kaons,,Kaon to pi^o,
X,Y,X,Y,X,Y
0.0499999999999996,-2.32203187587725E-10,0,0,0.050000000000000000,-3.21740446739573E-13
0.09999999999999960,-3.05516130082314E-10,0,0,0.10000000000000000,-5.32301219051419E-13
0.1500000000000000,-3.70945159663694E-10,0,0,0.15000000000000000,-4.90942801940715E-13
0.20000000000000000,-4.50040374459819E-10,0.2000000000000000,-1.43904341242316E-11,0.20000000000000000,-3.13625055443014E-13
0.25000000000000000,-4.95102843080605E-10,0.25000000000000000,-4.17098287404317E-13,0.25000000000000000,-3.42979736662426E-13
0.3000000000000000,-5.37502350768936E-10,0.3000000000000000,-7.50635870268667E-13,0.30000000000000000,-4.57513274929713E-13
0.35000000000000000,-5.56891205184269E-10,0.35000000000000000,-1.08170225844621E-12,0.3500000000000000,-4.93490995076977E-13
0.4000000000000000,-5.96260969124339E-10,0.39999999999999900,-1.55210217738921E-12,0.40000000000000000,-4.62166241511115E-13
0.4500000000000000,-6.11591530703551E-10,0.45000000000000000,-1.76972489638455E-12,0.4500000000000000,-5.60155972581377E-13
0.5,-6.19660744631749E-10,0.5000000000000000,-2.08005840103574E-12,0.5000000000000000,-5.00354214212725E-13
0.5500000000000000,-6.19660744631749E-10,0.5499999999999990,-2.54708827789446E-12,0.55,-5.34647751941135E-13
0.6000000000000000,-6.19660744631749E-10,0.6000000000000000,-2.93522294255325E-12,0.6000000000000000,-5.3351348835377E-13
0.6500000000000000,-6.05379367676103E-10,0.6500000000000000,-3.44125278858512E-12,0.6500000000000000,-5.87031355093326E-13
0.7000000000000000,-5.98367217235771E-10,0.7000000000000000,-3.5472047565395E-12,0.7000000000000010,-5.1069083271644E-13
0.7500000000000000,-5.98367217235771E-10,0.7500000000000000,-3.85443847697666E-12,0.7500000000000000,-5.63878199442715E-13
0.8000000000000000,-5.778322022344E-10,0.8000000000000000,-4.03693721320871E-12,0.8000000000000010,-5.44543785575737E-13
0.8500000000000000,-5.51583898773796E-10,0.8500000000000000,-4.69352193722091E-12,0.8500000000000000,-5.87031355093326E-13
0.9000000000000000,-5.20503805763352E-10,0.9000000000000000,-4.5124730013361E-12,0.9000000000000000,-5.0997841344302E-13
0.9500000000000000,-5.08585946798482E-10,0.9500000000000000,-4.81831988508356E-12,0.9500000000000010,-5.12143063881132E-13
1.0000000000000000,-4.69056812621233E-10,1.0000000000000000,-4.88502446163198E-12,1,-4.76502164229901E-13
1.0500000000000000,-4.38228661091422E-10,1.0500000000000000,-4.81638170837942E-12,1.0500000000000000,-4.53204039186767E-13
1.1,-4.13260993335944E-10,1.1,-4.77169691966584E-12,1.100000000000000,-5.04397474283126E-13
1.1500000000000000,-3.85775806939485E-10,1.15,-5.07876035708017E-12,1.1500000000000000,-4.61819103062627E-13
1.2000000000000000,-3.52395064367837E-10,1.2000000000000000,-5.04641147244187E-12,1.2000000000000000,-4.16544981898184E-13
1.25,-3.21373249877709E-10,1.25,-5.04641147244187E-12,1.2500000000000000,-3.28468667113159E-13
1.3000000000000000,-2.90511647332033E-10,1.3000000000000000,-5.14158981862734E-12,1.3000000000000000,-3.92919211838392E-13
1.35,-2.59508412596085E-10,1.35,-5.14158981862734E-12,1.350000000000000,-3.77665187016324E-13
1.4,-2.31829100991874E-10,1.4,-5.09376990381436E-12,1.4000000000000000,-3.59093537395378E-13
1.4500000000000000,-2.02665832389754E-10,1.4500000000000000,-5.43039729278328E-12,1.450000000000000,-3.04125805841333E-13
1.5000000000000000,-1.73365635050989E-10,1.5000000000000000,-5.33757831000535E-12,1.5000000000000000,-3.26805810028789E-13
1.5500000000000000,-1.48376682096261E-10,1.5500000000000000,-5.28786533951035E-12,1.5500000000000000,-2.98895599406522E-13
1.6,-1.27132001126253E-10,1.6,-5.28786533951035E-12,1.600000000000000,-2.90861026368393E-13
1.6500000000000000,-1.04362005037645E-10,1.6500000000000000,-5.28786533951035E-12,1.6500000000000000,-2.85106573244341E-13
1.700000000000000,-8.67187039961338E-11,1.7000000000000000,-5.38777657288946E-12,1.7000000000000000,-2.73949404451529E-13
1.7500000000000000,-7.06131012878898E-11,1.7500000000000000,-5.33757831000535E-12,1.7500000000000000,-2.25210722599287E-13
1.8000000000000000,-5.75902123992079E-11,1.8000000000000000,-5.33757831000535E-12,1.8000000000000000,-2.24583644096707E-13
1.850000000000000,-4.60255168402281E-11,1.8500000000000000,-5.38777657288946E-12,1.8500000000000000,-2.22372234408545E-13
1.9000000000000000,-3.64843423657655E-11,1.9000000000000000,-5.2386327998839E-12,1.9000000000000000,-2.15872613347208E-13
1.9500000000000000,-2.85351963015062E-11,1.9500000000000000,-5.33757831000535E-12,1.9500000000000000,-1.80801829227242E-13
2.000000000000000,-2.16534269812219E-11,2.0000000000000000,-5.38777657288946E-12,2.000000000000000,-1.53094135583646E-13
2.0500000000000000,-1.66059703250171E-11,2.0500000000000000,-5.33757831000535E-12,2.050000000000000,-1.92250678657103E-13
2.1,-1.26252301964815E-11,2.1000000000000000,-5.28786533951035E-12,2.100000000000000,-1.67859369815983E-13
2.15,-9.42310696552092E-12,2.15,-5.28786533951035E-12,2.150000000000000,-1.53094135583646E-13
